MQ2,MQ3,MQ5,MQ8,MQ135
61,84,13,84,560
54,92,6,91,571
58,97,11,80,567
44,96,17,76,560
53,97,15,78,568
51,93,12,82,565
46,92,19,82,558
54,94,12,71,560
48,92,15,81,564
43,97,13,78,563
48,98,16,71,562
39,102,17,90,563
64,86,23,72,557
52,93,6,81,578
67,92,11,77,576
52,92,19,75,571
42,87,14,68,566
43,104,24,75,581
52,95,15,79,564
52,93,15,83,563
47,96,12,79,566
48,95,14,77,566
47,98,16,78,563
44,94,14,79,568
54,94,14,78,564
45,94,13,72,566
47,97,15,72,567
49,82,11,69,564
60,85,29,83,563
61,88,5,83,572
43,97,20,71,578
45,93,13,81,577
62,92,7,79,580
47,94,7,82,573
42,110,28,93,582
46,91,13,77,563
52,98,19,79,568
52,97,14,77,566
51,96,16,82,569
49,95,12,78,564
47,90,11,83,573
51,93,17,80,566
45,108,20,81,568
44,110,17,73,564
41,92,15,81,566
51,95,15,84,567
51,95,18,81,567
49,99,19,78,565
45,96,15,75,567
51,96,17,82,567
47,96,18,83,567
47,92,16,81,567
54,100,12,79,568
49,99,16,78,568
47,91,15,80,568
49,91,18,78,567
54,96,18,82,568
50,90,14,85,566
46,101,28,71,561
36,116,28,87,583
40,104,25,73,570
63,93,8,74,563
45,100,28,74,575
50,100,19,78,566
48,94,22,80,573
48,98,13,84,565
51,93,13,79,573
45,93,16,80,566
52,99,14,79,564
49,93,12,79,564
52,92,19,83,567
46,97,14,83,571
48,99,9,80,565
48,99,16,78,565
54,91,17,79,569
53,94,18,82,567
46,95,16,92,571
62,84,30,71,564
41,104,12,85,572
55,104,18,71,571
51,88,14,92,576
54,90,16,85,581
40,101,18,82,570
50,99,14,80,564
49,94,16,81,575
48,91,14,77,566
54,97,18,78,568
61,98,15,82,568
50,96,13,80,572
49,94,18,78,569
50,98,17,77,563
50,94,8,91,571
40,96,6,74,575
62,86,13,92,583
66,88,18,75,571
45,92,4,95,579
46,91,10,89,583
61,87,8,76,564
39,116,14,80,571
49,95,16,78,568
49,100,16,84,569
46,101,11,79,566
47,85,15,77,568
52,93,14,76,570
51,91,14,77,565
51,97,16,81,574
51,96,18,81,569
50,93,15,82,567
49,94,16,79,576
50,93,13,83,569
38,111,28,75,567
49,105,14,77,578
66,98,9,86,578
48,112,23,71,567
57,94,16,83,568
55,90,14,80,575
42,95,18,84,569
47,94,15,78,568
51,98,17,77,571
47,94,14,81,571
54,96,14,79,569
53,102,14,80,567
36,106,29,75,562
47,108,29,70,568
37,115,31,89,581
53,110,27,74,562
52,98,13,84,575
37,82,27,84,585
41,104,10,86,579
69,92,27,74,565
62,90,21,76,567
51,94,16,78,571
46,96,17,76,574
47,101,18,83,571
43,96,18,82,569
45,96,15,82,570
49,94,15,80,571
51,98,17,75,566
50,96,19,96,590
44,95,13,76,571
57,98,15,78,569
51,98,16,80,570
51,87,19,83,572
50,98,17,78,570
48,94,12,77,571
54,98,13,83,576
54,95,13,76,573
53,99,15,81,568
47,101,14,83,575
45,96,13,80,570
50,97,15,80,569
49,98,14,82,565
49,97,15,79,569
49,90,20,82,575
59,92,12,74,587
44,103,7,89,588
61,88,12,91,585
46,91,7,87,586
44,106,26,75,571
48,99,9,82,571
65,87,14,87,583
41,100,8,93,577
66,85,10,94,573
47,97,16,73,573
47,94,18,77,572
49,97,15,81,570
50,97,17,82,576
49,92,17,83,572
52,96,15,86,573
53,94,15,80,573
47,97,17,83,574
50,94,16,77,572
54,99,16,79,570
46,98,12,81,571
51,100,17,78,572
49,94,13,87,573
48,99,16,83,567
50,93,18,76,571
54,95,16,81,575
56,96,17,77,575
50,96,13,84,572
51,95,13,81,575
46,93,17,80,576
48,100,17,74,580
54,97,15,76,573
49,93,17,78,575
53,101,21,80,578
44,94,17,80,575
45,93,18,81,575
48,96,15,86,575
46,98,17,82,572
52,98,17,79,576
50,99,14,78,578
53,93,15,81,575
50,93,16,81,575
49,100,18,83,579
55,96,18,80,573
52,97,18,84,574
47,96,18,79,574
52,100,17,82,576
47,96,18,79,575
48,96,19,76,574
48,96,14,82,571
50,91,25,94,582
54,93,11,76,570
54,99,26,83,590
63,88,8,77,570
47,111,22,93,578
69,86,6,84,573
57,89,8,93,590
61,86,8,92,587
52,99,13,83,576
47,93,17,77,570
48,92,17,82,575
55,102,12,82,573
47,95,12,79,573
53,95,14,82,575
49,97,15,79,572
56,101,15,93,581
48,109,6,75,579
65,86,10,85,568
48,114,20,94,588
43,108,29,88,577
54,110,14,95,581
37,101,24,74,565
57,91,11,94,587
44,104,15,81,575
56,99,19,85,575
51,98,20,82,570
46,95,18,84,574
52,95,16,80,573
51,98,22,78,575
45,98,15,85,573
46,96,17,82,572
52,100,19,94,589
39,102,12,75,584
65,87,10,81,568
60,87,11,94,588
63,89,20,78,573
54,98,18,81,588
39,112,8,95,587
48,109,26,83,591
52,94,16,84,578
48,101,16,81,577
55,94,16,83,578
45,94,14,79,576
52,100,17,87,574
47,98,14,82,572
45,95,18,82,576
51,99,16,82,574
54,97,17,92,580
62,93,5,89,567
42,105,20,85,574
61,88,10,82,572
43,117,18,100,589
63,102,16,82,574
50,94,20,82,577
51,99,19,88,573
51,95,15,82,571
54,99,20,80,575
49,99,16,83,576
47,106,18,85,576
50,99,18,86,581
53,103,13,82,574
52,100,19,84,573
51,97,17,86,578
60,92,18,93,588
63,88,24,74,568
57,92,12,92,590
59,94,8,76,589
55,99,15,98,582
38,110,30,77,573
61,86,24,72,572
53,109,13,96,587
39,109,25,79,575
52,99,17,80,581
50,97,17,83,578
46,97,19,88,580
52,98,13,85,579
52,100,17,83,579
50,97,20,83,574
49,98,18,86,579
55,100,16,82,579
52,105,15,82,576
53,99,21,87,579
46,96,15,77,576
51,98,16,83,574
48,100,17,83,578
54,99,15,82,574
50,97,17,84,576
49,95,20,83,576
53,104,20,79,575
50,95,22,84,577
47,99,13,82,576
46,98,17,85,575
48,98,14,86,580
48,101,17,83,579
51,97,15,84,576
51,101,14,85,581
36,114,29,86,578
65,99,23,75,587
60,94,16,92,590
55,109,11,93,594
45,98,15,77,580
46,99,23,83,580
53,99,13,86,577
49,96,14,82,579
52,99,17,81,577
52,101,11,81,578
49,101,14,83,579
51,94,18,80,579
51,98,17,80,577
45,99,18,84,579
50,97,19,88,577
52,99,18,86,578
56,93,17,86,574
52,108,24,96,595
43,112,32,87,588
62,93,14,94,577
41,101,10,76,578
44,102,27,95,586
59,90,6,92,580
44,101,19,88,579
53,102,18,84,576
48,101,17,83,584
49,102,15,84,579
50,100,16,80,581
47,100,17,87,581
50,93,19,80,578
52,98,18,81,576
49,110,16,90,593
55,89,21,75,572
62,85,10,94,592
63,94,26,80,586
57,109,15,84,579
53,111,19,91,576
62,92,23,85,597
39,107,25,81,583
42,103,15,79,597
50,99,14,83,579
44,99,15,80,579
51,99,16,83,579
